CL	CL_plane	Name_identical	Related	Merged	Naked_merged
NCI_ADR_RES_CELLMINER	NCIADRRES	NCI_ADR_RES_CELLMINER	OVCAR8_CCLE,OVCAR8_CELLMINER,OVCAR8_COSMIC,OVCAR8_EGA,OVCAR8_GDC	NCI_ADR_RES_CELLMINER,OVCAR8_CCLE,OVCAR8_CELLMINER,OVCAR8_COSMIC,OVCAR8_EGA,OVCAR8_GDC	NCIADRRES,OVCAR8
NCIH1048_CCLE	NCIH1048	NCIH1048_CCLE,NCI-H1048_COSMIC,NCI-H1048_EGA,NCI-H1048_GDC		NCIH1048_CCLE,NCI-H1048_COSMIC,NCI-H1048_EGA,NCI-H1048_GDC	NCIH1048
NCI-H1048_COSMIC	NCIH1048	NCIH1048_CCLE,NCI-H1048_COSMIC,NCI-H1048_EGA,NCI-H1048_GDC		NCIH1048_CCLE,NCI-H1048_COSMIC,NCI-H1048_EGA,NCI-H1048_GDC	NCIH1048
NCI-H1048_EGA	NCIH1048	NCIH1048_CCLE,NCI-H1048_COSMIC,NCI-H1048_EGA,NCI-H1048_GDC		NCIH1048_CCLE,NCI-H1048_COSMIC,NCI-H1048_EGA,NCI-H1048_GDC	NCIH1048
NCI-H1048_GDC	NCIH1048	NCIH1048_CCLE,NCI-H1048_COSMIC,NCI-H1048_EGA,NCI-H1048_GDC		NCIH1048_CCLE,NCI-H1048_COSMIC,NCI-H1048_EGA,NCI-H1048_GDC	NCIH1048
NCIH1092_CCLE	NCIH1092	NCIH1092_CCLE,NCI-H1092_COSMIC,NCI-H1092_EGA,NCI-H1092_GDC		NCIH1092_CCLE,NCI-H1092_COSMIC,NCI-H1092_EGA,NCI-H1092_GDC	NCIH1092
NCI-H1092_COSMIC	NCIH1092	NCIH1092_CCLE,NCI-H1092_COSMIC,NCI-H1092_EGA,NCI-H1092_GDC		NCIH1092_CCLE,NCI-H1092_COSMIC,NCI-H1092_EGA,NCI-H1092_GDC	NCIH1092
NCI-H1092_EGA	NCIH1092	NCIH1092_CCLE,NCI-H1092_COSMIC,NCI-H1092_EGA,NCI-H1092_GDC		NCIH1092_CCLE,NCI-H1092_COSMIC,NCI-H1092_EGA,NCI-H1092_GDC	NCIH1092
NCI-H1092_GDC	NCIH1092	NCIH1092_CCLE,NCI-H1092_COSMIC,NCI-H1092_EGA,NCI-H1092_GDC		NCIH1092_CCLE,NCI-H1092_COSMIC,NCI-H1092_EGA,NCI-H1092_GDC	NCIH1092
NCIH1105_CCLE	NCIH1105	NCIH1105_CCLE,NCI-H1105_COSMIC,NCI-H1105_GDC		NCIH1105_CCLE,NCI-H1105_COSMIC,NCI-H1105_GDC	NCIH1105
NCI-H1105_COSMIC	NCIH1105	NCIH1105_CCLE,NCI-H1105_COSMIC,NCI-H1105_GDC		NCIH1105_CCLE,NCI-H1105_COSMIC,NCI-H1105_GDC	NCIH1105
NCI-H1105_GDC	NCIH1105	NCIH1105_CCLE,NCI-H1105_COSMIC,NCI-H1105_GDC		NCIH1105_CCLE,NCI-H1105_COSMIC,NCI-H1105_GDC	NCIH1105
NCI-H1155_COSMIC	NCIH1155	NCI-H1155_COSMIC,NCI-H1155_EGA,NCI-H1155_GDC		NCI-H1155_COSMIC,NCI-H1155_EGA,NCI-H1155_GDC	NCIH1155
NCI-H1155_EGA	NCIH1155	NCI-H1155_COSMIC,NCI-H1155_EGA,NCI-H1155_GDC		NCI-H1155_COSMIC,NCI-H1155_EGA,NCI-H1155_GDC	NCIH1155
NCI-H1155_GDC	NCIH1155	NCI-H1155_COSMIC,NCI-H1155_EGA,NCI-H1155_GDC		NCI-H1155_COSMIC,NCI-H1155_EGA,NCI-H1155_GDC	NCIH1155
